Tanggal_Rilis,Judul,Kategori,Genre,Rating_IMDb,Durasi_Menit,Sutradara,Negara_Asal,Pendapatan_Global_Juta_USD,Jumlah_Ulasan_IMDb
2022-01-07,The 355,Hollywood,Aksi/Thriller,5.4,122.0,Simon Kinberg,Amerika Serikat,27.5,23000.0
2022-01-13,Cinta Subuh,Indonesia,Drama/Romansa,5.8,88.0,Anggy Umbara,Indonesia,,1200.0
2022-01-14,Scream (2022),Hollywood,Horor,6.4,114.0,Matt Bettinelli-Olpin,Amerika Serikat,140.0,179000.0
2022-01-21,The King's Man,Hollywood,Aksi/Petualangan,6.3,131.0,Matthew Vaughn,Amerika Serikat,100.8,158000.0
2022-01-27,Keluarga Cemara 2,Indonesia,Drama/Keluarga,7.1,98.0,Ismail Basbeth,Indonesia,,8500.0
2022-02-03,Satria Dewa: Gatotkaca,Indonesia,Aksi/Fantasi,5.7,116.0,Hanung Bramantyo,Indonesia,,6800.0
2022-02-04,Blacklight,Hollywood,Aksi/Thriller,4.9,104.0,Mark Williams,Amerika Serikat,15.9,11000.0
2022-02-11,Death on the Nile,Hollywood,Misteri/Thriller,6.0,127.0,Kenneth Branagh,Amerika Serikat,136.9,88000.0
2022-02-17,Laut Tengah,Indonesia,Drama/Romansa,6.2,104.0,Herwin Novianto,Indonesia,,2100.0
2022-02-18,Uncharted,Hollywood,Aksi/Petualangan,6.2,116.0,Ruben Fleischer,Amerika Serikat,401.7,172000.0
2022-02-25,The Cursed,Hollywood,Horor/Thriller,6.2,113.0,Sean Ellis,Amerika Serikat,,26000.0
2022-03-03,Saiyo Sakato,Indonesia,Drama,6.0,95.0,Adlin Mochtar,Indonesia,,1100.0
2022-03-04,The Batman,Hollywood,Aksi/Drama,7.8,176.0,Matt Reeves,Amerika Serikat,770.8,884000.0
2022-03-10,Kukira Kau Rumah,Indonesia,Drama/Romansa,7.0,105.0,Umay Shahab,Indonesia,,11000.0
2022-03-11,The Lost City,Hollywood,Aksi/Komedi,6.4,112.0,Aaron Nee,Amerika Serikat,190.4,106000.0
2022-03-17,Preman,Indonesia,Aksi/Drama,6.3,100.0,Randolph Zaini,Indonesia,,3400.0
2022-03-18,Sonic the Hedgehog 2,Hollywood,Animasi/Petualangan,6.2,122.0,Jeff Fowler,Amerika Serikat,405.4,104000.0
2022-03-25,Morbius,Hollywood,Aksi/Sci-Fi,5.2,104.0,Daniel Espinosa,Amerika Serikat,167.5,123000.0
2022-03-31,Nussa,Indonesia,Animasi/Keluarga,7.4,80.0,Bony Wirasmono,Indonesia,,9200.0
2022-04-01,The Contractor,Hollywood,Aksi/Thriller,6.0,103.0,Tarik Saleh,Amerika Serikat,13.6,32000.0
2022-04-07,Gundala 2,Indonesia,Aksi/Superhero,6.1,120.0,Joko Anwar,Indonesia,,8900.0
2022-04-08,Ambulance,Hollywood,Aksi/Thriller,7.1,136.0,Michael Bay,Amerika Serikat,22.7,107000.0
2022-04-22,The Unbearable Weight of Massive Talent,Hollywood,Aksi/Komedi,7.2,107.0,Tom Gormican,Amerika Serikat,29.8,111000.0
2022-04-28,Yuni,Indonesia,Drama,7.5,95.0,Kamila Andini,Indonesia,,5600.0
2022-04-28,KKN di Desa Penari,Indonesia,Horor,6.5,115.0,Awi Suryadi,Indonesia,,21000.0
2022-05-04,Doctor Strange in the Multiverse of Madness,Hollywood,Aksi/Sci-Fi,6.9,126.0,Sam Raimi,Amerika Serikat,955.8,518000.0
2022-05-05,Kawan tapi Menikah 2,Indonesia,Drama/Romansa,6.6,102.0,Rako Prijanto,Indonesia,,9200.0
2022-05-12,Losmen Bu Broto,Indonesia,Drama/Komedi,7.2,110.0,Ifa Isfansyah,Indonesia,,7800.0
2022-05-27,Top Gun: Maverick,Hollywood,Aksi/Drama,8.2,130.0,Joseph Kosinski,Amerika Serikat,1493.7,671000.0
2022-06-03,Men,Hollywood,Horor/Thriller,5.4,100.0,Alex Garland,Amerika Serikat,8.4,40000.0
2022-06-09,Ngeri-Ngeri Sedap,Indonesia,Drama/Komedi,8.3,114.0,Bene Dion,Indonesia,,28000.0
2022-06-10,Jurassic World Dominion,Hollywood,Petualangan/Sci-Fi,5.6,147.0,Colin Trevorrow,Amerika Serikat,1001.3,211000.0
2022-06-16,Ali & Ratu Ratu Queens,Indonesia,Drama,7.5,105.0,Lucky Kuswandi,Indonesia,,3500.0
2022-06-17,Lightyear,Hollywood,Animasi/Sci-Fi,5.5,100.0,Angus MacLane,Amerika Serikat,226.4,106000.0
